comercio,direccion,telefono,horario,descripcion,locales,comercio link,comerciourl,descuento,descuento2,categoria url,logo url,beneficio url,beneficio,beneficio url2
Déjate Besar,"Raúl Labbé 12.863, Lo Barnechea.",9553214,Lu-Sá: 20:00 a 01:00 hrs.  Do: 13:00 a 16:00 hrs.,"Solicite el descuento al momento de pagar con CMR Visa. Descuento no acumulable con otros descuentos, se excluye propinas, cigarrillos, menús, happy hours, despacho a domicilio y otras promociones u ofertas.",,Déjate Besar,www.dejatebesar.cl,,25%,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRrestaurantes&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/res_lg_dejatebesar.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRr_pri_dejatebesar&PAIS=CL&CLASS=7_0,,
Infante 51,"José Manuel Infante 51, Providencia.",2366771,Lu-Ju: 13:00 a 15:30 y 20:00 a 23:30 hrs. Vi-Sá: 13:00 a 15:30 y 20 a 24 hrs.  Do: 13:00 a 15:30 hrs.,"Solicite el descuento al momento de pagar con CMR Visa. Descuento no acumulable con otros descuentos, se excluye propinas, cigarrillos, menús, happy hours, despacho a domicilio y otras promociones u ofertas.",,Infante 51,www.infante51.cl,Infante,25%,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRrestaurantes&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/res_lg_infante51.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRr_pri_infante51&PAIS=CL&CLASS=7_0,,
Le Due Torri,"Isidora Goyenechea 2908, Las Condes.",2313427-2321509,Lu-Ju: 13:00 a 16:00 y 20:00 a 00:00 hrs.  Vi-Sá: 13:00 a 16:00 y 20:00 a 00:30 hrs.  Do: 13:00 a 16:30 y 20 a 00 hrs.,"Solicite el descuento al momento de pagar con CMR Visa. Descuento no acumulable con otros descuentos, se excluye propinas, cigarrillos, menús, happy hours, despacho a domicilio y otras promociones u ofertas.",Las Condes,Le Due Torri,,25%,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRrestaurantes&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/res_lg_duetorri.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRr_pri_lst_loc&PAIS=CL&CLASS=7_0,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRr_pri_duetorri1&PAIS=CL&CLASS=7_0
Le Due Torri,"Monseñor Escrivá de Balaguer 6400, local 1A, Vitacura.",2478484-2478491,Lu-Ju: 13:00 a 16:00 y 20:00 a 00:00 hrs. Vi-Sá: 13:00 a 16:00 y 20:00 a 00:30 hrs. Do: 13:00 a 16:30 y 20:00 a 23:30 hrs.,"Solicite el descuento al momento de pagar con CMR Visa. Descuento no acumulable con otros descuentos, se excluye propinas, cigarrillos, menús, happy hours, despacho a domicilio y otras promociones u ofertas.",Vitacura,Le Due Torri,,25%,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRrestaurantes&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/res_lg_duetorri.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRr_pri_lst_loc&PAIS=CL&CLASS=7_0,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRr_pri_duetorri2&PAIS=CL&CLASS=7_0
Le Due Torri,"San Antonio 258, Santiago.",6333799-6397609,,"Solicite el descuento al momento de pagar con CMR Visa. Descuento no acumulable con otros descuentos, se excluye propinas, cigarrillos, menús, happy hours, despacho a domicilio y otras promociones u ofertas.",Santiago,Le Due Torri,,25%,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRrestaurantes&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/res_lg_duetorri.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRr_pri_lst_loc&PAIS=CL&CLASS=7_0,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRr_pri_duetorri3&PAIS=CL&CLASS=7_0
El Otro Sitio,"Monseñor Escrivá de Balaguer 6400, local 2. Vitacura.",2180105,Do-Ju: 12:30 a 00:00 hrs.  Vi-Sá: hasta 01:00 hrs.,"Solicite el descuento al momento de pagar con CMR Visa. Descuento no acumulable con otros descuentos, se excluye propinas, cigarrillos, menús, happy hours, despacho a domicilio y otras promociones u ofertas.",Vitacura,El Otro Sitio,www.elotrositio.cl,25%,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRrestaurantes&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/res_lg_otrositio.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRr_int_otrositio&PAIS=CL&CLASS=7_0,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRr_int_os_vitacura&PAIS=CL&CLASS=7_0
El Otro Sitio,Avda Kennedy 5413 Local 368. Las Condes.,2205800,Do-Ju: 12:30 a 00:00 hrs. Vi-Sá: hasta las 01:00 Hrs.,"Solicite el descuento al momento de pagar con CMR Visa. Descuento no acumulable con otros descuentos, se excluye propinas, cigarrillos, menús, happy hours, despacho a domicilio y otras promociones u ofertas.",Las Condes,El Otro Sitio,www.elotrositio.cl,25%,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRrestaurantes&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/res_lg_otrositio.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRr_int_otrositio&PAIS=CL&CLASS=7_0,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRr_int_os_lascondes1&PAIS=CL&CLASS=7_0
El Otro Sitio,"Avda. Kennedy 9001, Local 3260. Las Condes.",9543600,Do-Ju: 12:30 a 00:00 hrs. Vi-Sá: hasta las 01:00 hrs.,"Solicite el descuento al momento de pagar con CMR Visa. Descuento no acumulable con otros descuentos, se excluye propinas, cigarrillos, menús, happy hours, despacho a domicilio y otras promociones u ofertas.",Las Condes,El Otro Sitio,www.elotrositio.cl,25%,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRrestaurantes&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/res_lg_otrositio.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRr_int_otrositio&PAIS=CL&CLASS=7_0,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRr_int_os_lascondes2&PAIS=CL&CLASS=7_0
El Otro Sitio,Antonia Lope de Bello 53. Providencia.,7773059 - 7779389,Do-Ju: 13:00 a 24:00 hrs.  Vi-Sá: 13.00 a 01.00 hrs.,"Solicite el descuento al momento de pagar con CMR Visa, Descuento no acumulable con otros descuentos y promociones. Convenio válido hasta el 30/06/2012.",Providencia,El Otro Sitio,www.elotrositio.cl,25%,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRrestaurantes&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/res_lg_otrositio.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRr_int_otrositio&PAIS=CL&CLASS=7_0,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRr_int_os_provi&PAIS=CL&CLASS=7_0
Etniko,"Constitución 172, Providencia.",7320119,Lu-Ma: 20:00 a 24:00 hrs. Mie-Ju: 20:00 a 01:00 hrs.  Vi-Sá: 20:00 a 02:00 hrs.,"Solicite el descuento al momento de pagar con CMR Visa. Descuento no acumulable con otros descuentos, se excluye propinas, cigarrillos, menús, happy hours, despacho a domicilio y otras promociones u ofertas.",,Etniko,www.etniko.cl,,25%,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRrestaurantes&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/res_lg_etniko.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRr_pri_etniko&PAIS=CL&CLASS=7_0,,
