logo restaurant,comercio,direccion,horarios,especialidad,precio,otros,web,descripcion,beneficio url
http://www.clubdelectores.cl/fotos/2009/04/13/20090413_aqua.jpg,Acqua,"Av. Borgoño 23333, Concón. (32) 254 6400","Desayuno 6:30 a 10:30 hrs. Almuerzo 12:30 a 15:00 hrs. Cena 19:30 a 23:00 hrs.",Internacional,$36.000,,,"Beneficio válido sólo en estos restaurantes presentando tu tarjeta Club de Lectores de El Mercurio vigente y cédula de identidad. 25% de descuento pagando con tu tarjeta Club de Lectores American Express®, efectivo, cheque o tarjeta débito. 20% de descuento pagando con otras tarjetas de crédito. Descuento aplicable a un máximo de 8 personas por mesa desde el 2 de septiembre al 6 de octubre de 2012. Beneficio exento para promociones especiales, menús promocionales o happy hours, no incluye pedidos telefónicos, despachos a domicilio ni take out. Descuento no válido para días festivos.",http://www.clubdelectores.cl/gastronomia/gastronomia_restaurant_detalle.aspx?id_restaurant=70
http://www.clubdelectores.cl/fotos/2012/04/13/20120413_alfresco.JPG,Alfresco,Av Las Condes 7542,Lunes a sábado/almuerzo y cena. Domingo Almuerzo,Peruana,$32.000,,www.alfresco.cl,"Beneficio válido sólo en estos restaurantes presentando tu tarjeta Club de Lectores de El Mercurio vigente y cédula de identidad. 25% de descuento pagando con tu tarjeta Club de Lectores American Express®, efectivo, cheque o tarjeta débito. 20% de descuento pagando con otras tarjetas de crédito. Descuento aplicable a un máximo de 8 personas por mesa desde el 2 de septiembre al 6 de octubre de 2012. Beneficio exento para promociones especiales, menús promocionales o happy hours, no incluye pedidos telefónicos, despachos a domicilio ni take out. Descuento no válido para días festivos.",http://www.clubdelectores.cl/gastronomia/gastronomia_restaurant_detalle.aspx?id_restaurant=58
http://www.clubdelectores.cl/fotos/2012/05/07/20120507_alfresco.jpg,Alfresco Peruanísimo,"Loreto 509, Recoleta",,Peruana,$28.000,,www.peruanisimo.cl,"Beneficio válido sólo en estos restaurantes presentando tu tarjeta Club de Lectores de El Mercurio vigente y cédula de identidad. 25% de descuento pagando con tu tarjeta Club de Lectores American Express®, efectivo, cheque o tarjeta débito. 20% de descuento pagando con otras tarjetas de crédito. Descuento aplicable a un máximo de 8 personas por mesa desde el 2 de septiembre al 6 de octubre de 2012. Beneficio exento para promociones especiales, menús promocionales o happy hours, no incluye pedidos telefónicos, despachos a domicilio ni take out. Descuento no válido para días festivos.",http://www.clubdelectores.cl/gastronomia/gastronomia_restaurant_detalle.aspx?id_restaurant=2
http://www.clubdelectores.cl/fotos/2011/03/15/20110315_amaran1.jpg,Amaranto,Alameda 632 Santiago Centro,"De lunes a domingo, almuerzo y cena. Desde las 12:00 a 15:30 hrs. y 19:00 a 23:00 hrs.",De Autor,$24.000,,www.caesarbusiness.com,"Beneficio válido sólo en estos restaurantes presentando tu tarjeta Club de Lectores de El Mercurio vigente y cédula de identidad. 25% de descuento pagando con tu tarjeta Club de Lectores American Express®, efectivo, cheque o tarjeta débito. 20% de descuento pagando con otras tarjetas de crédito. Descuento aplicable a un máximo de 8 personas por mesa desde el 2 de septiembre al 6 de octubre de 2012. Beneficio exento para promociones especiales, menús promocionales o happy hours, no incluye pedidos telefónicos, despachos a domicilio ni take out. Descuento no válido para días festivos.",http://www.clubdelectores.cl/gastronomia/gastronomia_restaurant_detalle.aspx?id_restaurant=87
http://www.clubdelectores.cl/fotos/2009/04/13/20090413_ambrosia.jpg,Ambrosia,"Merced 838 A, Santiago Centro. (2)697 2023.",Lunes a Viernes hora de almuerzo,Internacional,$26.000,,www.ambrosia.cl,"Beneficio válido sólo en estos restaurantes presentando tu tarjeta Club de Lectores de El Mercurio vigente y cédula de identidad. 25% de descuento pagando con tu tarjeta Club de Lectores American Express®, efectivo, cheque o tarjeta débito. 20% de descuento pagando con otras tarjetas de crédito. Descuento aplicable a un máximo de 8 personas por mesa desde el 2 de septiembre al 6 de octubre de 2012. Beneficio exento para promociones especiales, menús promocionales o happy hours, no incluye pedidos telefónicos, despachos a domicilio ni take out. Descuento no válido para días festivos.",http://www.clubdelectores.cl/gastronomia/gastronomia_restaurant_detalle.aspx?id_restaurant=60
http://www.clubdelectores.cl/fotos/2010/08/02/20100802_apple.jpg,Applebee´s Cantagallo,"Av. Las condes 12340. (2) 9550404",Domingo a Jueves de 12:00 a 00 hrs. Viernes y Sábado de 12:00 a 01:00 hrs.,Americana,$19.000,,,"Beneficio válido sólo en estos restaurantes presentando tu tarjeta Club de Lectores de El Mercurio vigente y cédula de identidad. 25% de descuento pagando con tu tarjeta Club de Lectores American Express®, efectivo, cheque o tarjeta débito. 20% de descuento pagando con otras tarjetas de crédito. Descuento aplicable a un máximo de 8 personas por mesa desde el 2 de septiembre al 6 de octubre de 2012. Beneficio exento para promociones especiales, menús promocionales o happy hours, no incluye pedidos telefónicos, despachos a domicilio ni take out. Descuento no válido para días festivos.",http://www.clubdelectores.cl/gastronomia/gastronomia_restaurant_detalle.aspx?id_restaurant=92
http://www.clubdelectores.cl/fotos/2010/08/02/20100802_apple.jpg,Applebee´s Vitacura,"Av. Vitacura 6345. (2)247 8817",Domingo a Jueves de 12:00 a 00 hrs. Viernes y Sábado de 12:00 a 01:00 hrs.,Americana,$19.000,,,"Beneficio válido sólo en estos restaurantes presentando tu tarjeta Club de Lectores de El Mercurio vigente y cédula de identidad. 25% de descuento pagando con tu tarjeta Club de Lectores American Express®, efectivo, cheque o tarjeta débito. 20% de descuento pagando con otras tarjetas de crédito. Descuento aplicable a un máximo de 8 personas por mesa desde el 2 de septiembre al 6 de octubre de 2012. Beneficio exento para promociones especiales, menús promocionales o happy hours, no incluye pedidos telefónicos, despachos a domicilio ni take out. Descuento no válido para días festivos.",http://www.clubdelectores.cl/gastronomia/gastronomia_restaurant_detalle.aspx?id_restaurant=93
http://www.clubdelectores.cl/fotos/2010/12/29/20101229_kennedy.jpg,Aquarium,"Av. Kennedy 4570. (2)290 8100 y (2)290 8125",Desayuno 06:30 ? 10:30 hrs. / Almuerzo 12:30 ? 16:00 hrs/Cena 19:00 ? 24:00 hrs,Internacional,$39.000,"""Carta del Conductor"". Es una variada oferta de deliciosos y sorprendentes cócteles sin alcohol, preparadas especialmente para el que maneja. En las tardes Bar Brandy ofrece un Happy Hour que ya es un hit en Santiago , ideal para después del trabajo e incluso para reuniones y juntas de negocio",www.hotelkennedy.cl,"Beneficio válido sólo en estos restaurantes presentando tu tarjeta Club de Lectores de El Mercurio vigente y cédula de identidad. 25% de descuento pagando con tu tarjeta Club de Lectores American Express®, efectivo, cheque o tarjeta débito. 20% de descuento pagando con otras tarjetas de crédito. Descuento aplicable a un máximo de 8 personas por mesa desde el 2 de septiembre al 6 de octubre de 2012. Beneficio exento para promociones especiales, menús promocionales o happy hours, no incluye pedidos telefónicos, despachos a domicilio ni take out. Descuento no válido para días festivos.",http://www.clubdelectores.cl/gastronomia/gastronomia_restaurant_detalle.aspx?id_restaurant=34
http://www.clubdelectores.cl/fotos/2012/08/30/20120830_artaban.jpg,Artabán,Cerro el plomo 5630 local 201-202,,,"Almuerzo $30.000, After office $24.000.","25% descuento. Teléfono: 02-2420783.",,"Beneficio válido sólo en estos restaurantes presentando tu tarjeta Club de Lectores de El Mercurio vigente y cédula de identidad. 25% de descuento pagando con tu tarjeta Club de Lectores American Express®, efectivo, cheque o tarjeta débito. 20% de descuento pagando con otras tarjetas de crédito. Descuento aplicable a un máximo de 8 personas por mesa desde el 2 de septiembre al 6 de octubre de 2012. Beneficio exento para promociones especiales, menús promocionales o happy hours, no incluye pedidos telefónicos, despachos a domicilio ni take out. Descuento no válido para días festivos.",http://www.clubdelectores.cl/gastronomia/gastronomia_restaurant_detalle.aspx?id_restaurant=202
http://www.clubdelectores.cl/fotos/2012/06/06/20120606_asi.jpg,Asian,"Monseñor Escrivá de Balaguer 6400, L5, BordeRío. Fono: (2) 219 2014",,China,$35.000,,,"Beneficio válido sólo en estos restaurantes presentando tu tarjeta Club de Lectores de El Mercurio vigente y cédula de identidad. 25% de descuento pagando con tu tarjeta Club de Lectores American Express®, efectivo, cheque o tarjeta débito. 20% de descuento pagando con otras tarjetas de crédito. Descuento aplicable a un máximo de 8 personas por mesa desde el 2 de septiembre al 6 de octubre de 2012. Beneficio exento para promociones especiales, menús promocionales o happy hours, no incluye pedidos telefónicos, despachos a domicilio ni take out. Descuento no válido para días festivos.",http://www.clubdelectores.cl/gastronomia/gastronomia_restaurant_detalle.aspx?id_restaurant=195
